song_id,artist,album,song,spotify_track_link,spotify_img_link,uri,timestamp,short_day,long_day,time_of_day,context_uri,context_link,context_name
92,100 gecs,"ringtone (Remix) [feat. Charli XCX, Rico Nasty, Kero Kero Bonito]","ringtone (Remix) [feat. Charli XCX, Rico Nasty, Kero Kero Bonito]",https://open.spotify.com/track/1cwQI9EXXDhRV1yP70vHXc,https://i.scdn.co/image/ab67616d0000b273a2b187bfc264b5921bbb8de4,spotify:track:1cwQI9EXXDhRV1yP70vHXc,2021-12-22T01:41:11.336Z,12/22/2021,"Dec 22, 2021",01:41,spotify:playlist:3u2lnRpZzIhXWwT3uABqbX,https://open.spotify.com/playlist/3u2lnRpZzIhXWwT3uABqbX?sessionId=072bdff2ff905c1d9d7c6e64314e12a3&mode=enhanced,running playlist 🙈😝
65,Yawning Portal,Heart & Earth,Make You Happy Housefire,https://open.spotify.com/track/5ZY8JgOVVhPo66TsKmOEeX,https://i.scdn.co/image/ab67616d0000b273b1e1ac6b0be3370d67989b87,spotify:track:5ZY8JgOVVhPo66TsKmOEeX,2021-12-21T17:33:54.509Z,12/21/2021,"Dec 21, 2021",17:33,spotify:playlist:2qOQWx0wrcVr48eL7Io7uM,https://open.spotify.com/playlist/2qOQWx0wrcVr48eL7Io7uM,🧫🧎🏽‍♀️
66,Lil Uzi Vert,New Patek,New Patek,https://open.spotify.com/track/0Fpen1PTuEnCmOJtUU9Iud,https://i.scdn.co/image/ab67616d0000b273099a7b2bba7b013c1292eacf,spotify:track:0Fpen1PTuEnCmOJtUU9Iud,2021-12-21T17:30:34.687Z,12/21/2021,"Dec 21, 2021",17:30,spotify:playlist:4UelUl6rbtzT5UMU44GUgH,https://open.spotify.com/playlist/4UelUl6rbtzT5UMU44GUgH,minivan music
73,SONIKKU,Joyful Death,Sweat - SOPHIE Remix,https://open.spotify.com/track/1CUCnTJVZy68TS34DX6kCx,https://i.scdn.co/image/ab67616d0000b273316c3c27fc3a81540762fe91,spotify:track:1CUCnTJVZy68TS34DX6kCx,2021-12-21T22:59:28.512Z,12/21/2021,"Dec 21, 2021",22:59,spotify:playlist:3u2lnRpZzIhXWwT3uABqbX,https://open.spotify.com/playlist/3u2lnRpZzIhXWwT3uABqbX?sessionId=072bdff2ff905c1d9d7c6e64314e12a3&mode=enhanced,running playlist 🙈😝
74,Chase Icon,SRS,SRS,https://open.spotify.com/track/2YqnLz7YNpDzX0nlYVnAmF,https://i.scdn.co/image/ab67616d0000b273b525be5c6f477490a684d707,spotify:track:2YqnLz7YNpDzX0nlYVnAmF,2021-12-21T22:55:08.921Z,12/21/2021,"Dec 21, 2021",22:55,spotify:playlist:3u2lnRpZzIhXWwT3uABqbX,https://open.spotify.com/playlist/3u2lnRpZzIhXWwT3uABqbX?sessionId=072bdff2ff905c1d9d7c6e64314e12a3&mode=enhanced,running playlist 🙈😝
75,David Guetta,Nothing but the Beat 2.0,Turn Me On (feat. Nicki Minaj),https://open.spotify.com/track/6JOlNkT0QdHeZB0wPbI9IR,https://i.scdn.co/image/ab67616d0000b273a197a2ef3ad6704d1f44aa4e,spotify:track:6JOlNkT0QdHeZB0wPbI9IR,2021-12-21T22:52:26.170Z,12/21/2021,"Dec 21, 2021",22:52,spotify:playlist:3u2lnRpZzIhXWwT3uABqbX,https://open.spotify.com/playlist/3u2lnRpZzIhXWwT3uABqbX?sessionId=072bdff2ff905c1d9d7c6e64314e12a3&mode=enhanced,running playlist 🙈😝
76,Rico Nasty,Nasty,Bitch I'm Nasty,https://open.spotify.com/track/2xXNa4tR2CronQsZ6OKQtP,https://i.scdn.co/image/ab67616d0000b27341e7c5b95a9d860b5d868b0e,spotify:track:2xXNa4tR2CronQsZ6OKQtP,2021-12-21T22:49:07.119Z,12/21/2021,"Dec 21, 2021",22:49,spotify:playlist:3u2lnRpZzIhXWwT3uABqbX,https://open.spotify.com/playlist/3u2lnRpZzIhXWwT3uABqbX?sessionId=072bdff2ff905c1d9d7c6e64314e12a3&mode=enhanced,running playlist 🙈😝
77,Danny L Harle,1UL,1UL,https://open.spotify.com/track/4sPCKi7i8DAdWc1WpQrmOG,https://i.scdn.co/image/ab67616d0000b273bb15ee6d9b442c1602363446,spotify:track:4sPCKi7i8DAdWc1WpQrmOG,2021-12-21T22:47:34.271Z,12/21/2021,"Dec 21, 2021",22:47,spotify:playlist:3u2lnRpZzIhXWwT3uABqbX,https://open.spotify.com/playlist/3u2lnRpZzIhXWwT3uABqbX?sessionId=072bdff2ff905c1d9d7c6e64314e12a3&mode=enhanced,running playlist 🙈😝
78,Shygirl,SLIME,SLIME,https://open.spotify.com/track/5alFLxnNmBmTdNM6Oq0nqD,https://i.scdn.co/image/ab67616d0000b27312870547b30fedb9184cea84,spotify:track:5alFLxnNmBmTdNM6Oq0nqD,2021-12-21T23:11:30.400Z,12/21/2021,"Dec 21, 2021",23:11,spotify:playlist:3u2lnRpZzIhXWwT3uABqbX,https://open.spotify.com/playlist/3u2lnRpZzIhXWwT3uABqbX?sessionId=072bdff2ff905c1d9d7c6e64314e12a3&mode=enhanced,running playlist 🙈😝
79,M.I.A.,Kala,Boyz,https://open.spotify.com/track/6cL7d5UxAmU4gr0PVzk2Z9,https://i.scdn.co/image/ab67616d0000b27320e0d874026f971dc2c4822b,spotify:track:6cL7d5UxAmU4gr0PVzk2Z9,2021-12-21T23:08:50.691Z,12/21/2021,"Dec 21, 2021",23:08,spotify:playlist:3u2lnRpZzIhXWwT3uABqbX,https://open.spotify.com/playlist/3u2lnRpZzIhXWwT3uABqbX?sessionId=072bdff2ff905c1d9d7c6e64314e12a3&mode=enhanced,running playlist 🙈😝
80,Lady Gaga,The Fame Monster (Deluxe Edition),Starstruck,https://open.spotify.com/track/7p4oQBhS0Oqx6m2GMQ9FvR,https://i.scdn.co/image/ab67616d0000b2735c9890c0456a3719eeecd8aa,spotify:track:7p4oQBhS0Oqx6m2GMQ9FvR,2021-12-21T23:05:22.914Z,12/21/2021,"Dec 21, 2021",23:05,spotify:playlist:3u2lnRpZzIhXWwT3uABqbX,https://open.spotify.com/playlist/3u2lnRpZzIhXWwT3uABqbX?sessionId=072bdff2ff905c1d9d7c6e64314e12a3&mode=enhanced,running playlist 🙈😝
84,Azealia Banks,Broke with Expensive Taste,212,https://open.spotify.com/track/16EMONl2vH3rt9f4ehTG8g,https://i.scdn.co/image/ab67616d0000b273b5efe29cb31508624b9f59d5,spotify:track:16EMONl2vH3rt9f4ehTG8g,2021-12-21T23:36:54.816Z,12/21/2021,"Dec 21, 2021",23:36,spotify:playlist:3u2lnRpZzIhXWwT3uABqbX,https://open.spotify.com/playlist/3u2lnRpZzIhXWwT3uABqbX?sessionId=072bdff2ff905c1d9d7c6e64314e12a3&mode=enhanced,running playlist 🙈😝
